Registry,Country,ASN,Value,Date,Status
ripencc,EU,7,1,19930901,allocated
ripencc,DE,28,1,19930901,allocated
ripencc,IT,137,1,19930901,allocated
ripencc,NO,224,1,19930901,allocated
ripencc,EU,248,1,19930901,allocated
ripencc,EU,249,1,19930901,allocated
ripencc,EU,250,1,19930901,allocated
ripencc,EU,251,1,19930901,allocated
ripencc,EU,261,1,19930901,allocated
ripencc,US,286,1,19930901,allocated
ripencc,DE,288,1,19930901,allocated
ripencc,EU,294,1,19930901,allocated
ripencc,FI,375,1,19930901,allocated
ripencc,IL,378,1,19930901,allocated
ripencc,CH,513,1,19921117,allocated
ripencc,US,517,1,19930901,allocated
ripencc,EU,528,1,19930901,allocated
ripencc,EU,529,1,19930901,allocated
ripencc,EU,544,1,19930901,allocated
ripencc,DE,553,1,19930901,allocated
ripencc,CH,559,1,19930901,allocated
ripencc,FI,565,1,19930901,allocated
ripencc,EU,590,1,19930901,allocated
ripencc,EU,593,1,19930901,allocated
ripencc,EU,669,1,19930901,allocated
ripencc,AT,679,1,19930901,allocated
ripencc,DE,680,1,19930901,allocated
ripencc,DK,692,1,19900723,allocated
ripencc,CH,695,1,19930901,allocated
ripencc,CH,696,1,19930901,allocated
ripencc,EU,697,1,19930901,allocated
ripencc,EU,709,1,19930901,allocated
ripencc,EU,710,1,19930901,allocated
ripencc,EU,712,1,19930901,allocated
ripencc,FI,719,1,19930901,allocated
ripencc,AT,760,1,19930901,allocated
ripencc,EU,761,1,19930901,allocated
ripencc,EU,764,1,19930901,allocated
ripencc,ES,766,1,19930901,allocated
ripencc,EU,774,1,19930901,allocated
ripencc,EU,775,1,19930901,allocated
ripencc,EU,776,1,19930901,allocated
ripencc,EU,777,1,19930901,allocated
ripencc,EU,778,1,19930901,allocated
ripencc,EU,779,1,19930901,allocated
ripencc,EU,780,1,19930901,allocated
ripencc,EU,781,1,19930901,allocated
ripencc,EU,782,1,19930901,allocated
ripencc,EU,783,1,19930901,allocated
ripencc,GB,786,1,19930901,allocated
ripencc,EU,789,1,19930901,allocated
ripencc,FI,790,1,19930901,allocated
ripencc,SE,918,1,20220613,allocated
ripencc,IM,926,1,20220616,allocated
ripencc,JP,945,1,20220621,allocated
ripencc,SI,1018,1,20220630,allocated
ripencc,NL,1101,1,19930901,allocated
ripencc,NL,1102,1,19930901,allocated
ripencc,NL,1103,1,19930901,allocated
ripencc,NL,1104,1,19930901,allocated
ripencc,NL,1105,1,19930901,allocated
ripencc,NL,1106,1,19930901,allocated
ripencc,NL,1107,1,19930901,allocated
ripencc,NL,1108,1,19930901,allocated
ripencc,AT,1109,1,19930901,allocated
ripencc,AT,1110,1,19930901,allocated
ripencc,AT,1111,1,19930901,allocated
ripencc,AT,1112,1,19930901,allocated
ripencc,AT,1113,1,19930901,allocated
ripencc,AT,1114,1,19930901,allocated
ripencc,AT,1115,1,19930901,allocated
ripencc,AT,1116,1,19930901,allocated
ripencc,EU,1117,1,19930901,allocated
ripencc,EU,1118,1,19930901,allocated
ripencc,EU,1119,1,19930901,allocated
ripencc,EU,1120,1,19930901,allocated
ripencc,EU,1121,1,19930901,allocated
ripencc,EU,1122,1,19930901,allocated
ripencc,EU,1123,1,19930901,allocated
ripencc,EU,1124,1,19930901,allocated
ripencc,NL,1125,1,19930901,allocated
ripencc,EU,1126,1,19930901,allocated
ripencc,NL,1127,1,19930901,allocated
ripencc,NL,1128,1,19930901,allocated
ripencc,NL,1129,1,19930901,allocated
ripencc,NL,1130,1,19930901,allocated
ripencc,NL,1131,1,19930901,allocated
ripencc,NL,1132,1,19930901,allocated
ripencc,NL,1133,1,19930901,allocated
ripencc,NL,1134,1,19930901,allocated
ripencc,EU,1135,1,19930901,allocated
ripencc,NL,1136,1,19930901,allocated
ripencc,EU,1137,1,19930901,allocated
ripencc,NL,1138,1,19930901,allocated
ripencc,NL,1139,1,19930901,allocated
ripencc,NL,1140,1,19930901,allocated
ripencc,NL,1141,1,19930901,allocated
ripencc,NL,1142,1,19930901,allocated
ripencc,NL,1143,1,19930901,allocated
ripencc,NL,1144,1,19930901,allocated
ripencc,NL,1145,1,19930901,allocated
ripencc,NL,1146,1,19930901,allocated
ripencc,NL,1147,1,19930901,allocated
ripencc,NL,1148,1,19930901,allocated
ripencc,NL,1149,1,19930901,allocated
ripencc,NL,1150,1,19930901,allocated
ripencc,NL,1151,1,19930901,allocated
ripencc,NL,1152,1,19930901,allocated
ripencc,NL,1153,1,19930901,allocated
ripencc,NL,1154,1,19930901,allocated
ripencc,NL,1155,1,19930901,allocated
ripencc,NL,1156,1,19930901,allocated
ripencc,NL,1157,1,19930901,allocated
ripencc,NL,1158,1,19930901,allocated
ripencc,NL,1159,1,19930901,allocated
ripencc,NL,1160,1,19930901,allocated
ripencc,NL,1161,1,19930901,allocated
ripencc,NL,1162,1,19930901,allocated
ripencc,NL,1163,1,19930901,allocated
ripencc,NL,1164,1,19930901,allocated
ripencc,NL,1165,1,19930901,allocated
ripencc,NL,1166,1,19930901,allocated
ripencc,NL,1167,1,19930901,allocated
ripencc,NL,1168,1,19930901,allocated
ripencc,NL,1169,1,19930901,allocated
ripencc,NL,1170,1,19930901,allocated
ripencc,NL,1171,1,19930901,allocated
ripencc,NL,1172,1,19930901,allocated
ripencc,NL,1173,1,19930901,allocated
ripencc,NL,1174,1,19930901,allocated
ripencc,NL,1175,1,19930901,allocated
ripencc,NL,1176,1,19930901,allocated
ripencc,NL,1177,1,19930901,allocated
ripencc,NL,1178,1,19930901,allocated
ripencc,NL,1179,1,19930901,allocated
ripencc,NL,1180,1,19930901,allocated
ripencc,NL,1181,1,19930901,allocated
ripencc,NL,1182,1,19930901,allocated
ripencc,NL,1183,1,19930901,allocated
ripencc,NL,1184,1,19930901,allocated
ripencc,NL,1185,1,19930901,allocated
ripencc,NL,1186,1,19930901,allocated
ripencc,NL,1187,1,19930901,allocated
ripencc,NL,1188,1,19930901,allocated
ripencc,NL,1189,1,19930901,allocated
ripencc,NL,1190,1,19930901,allocated
ripencc,NL,1191,1,19930901,allocated
ripencc,NL,1192,1,19930901,allocated
ripencc,NL,1193,1,19930901,allocated
ripencc,NL,1194,1,19930901,allocated
ripencc,NL,1195,1,19930901,allocated
ripencc,NL,1196,1,19930901,allocated
ripencc,IE,1197,1,20101118,allocated
ripencc,NL,1198,1,19930901,allocated
ripencc,NL,1199,1,19930901,allocated
ripencc,NL,1200,1,19930901,allocated
ripencc,EU,1203,1,19930901,allocated
ripencc,AT,1205,1,19930901,allocated
ripencc,IE,1213,1,19920617,allocated
ripencc,EU,1234,1,19930901,allocated
ripencc,EU,1235,1,19930901,allocated
ripencc,GR,1241,1,19930901,allocated
ripencc,NL,1248,1,19930901,allocated
ripencc,EU,1253,1,19930901,allocated
ripencc,EU,1257,1,19930901,allocated
ripencc,IT,1267,1,19930901,allocated
ripencc,IT,1268,1,19930901,allocated
ripencc,IT,1269,1,19930901,allocated
ripencc,EU,1270,1,19930901,allocated
ripencc,EU,1271,1,19930901,allocated
ripencc,EU,1272,1,19930901,allocated
ripencc,EU,1273,1,19930901,allocated
ripencc,EU,1274,1,19930901,allocated
ripencc,EU,1275,1,19930901,allocated
ripencc,EU,1279,1,19930901,allocated
ripencc,EU,1290,1,19930901,allocated
ripencc,CH,1297,1,19930901,allocated
ripencc,SE,1299,1,19930901,allocated
ripencc,EU,1300,1,19930901,allocated
ripencc,EU,1301,1,19930901,allocated
ripencc,EU,1302,1,19930901,allocated
ripencc,EU,1303,1,19930901,allocated
ripencc,EU,1304,1,19930901,allocated
ripencc,EU,1305,1,19930901,allocated
ripencc,EU,1306,1,19930901,allocated
ripencc,EU,1307,1,19930901,allocated
ripencc,EU,1308,1,19930901,allocated
ripencc,EU,1309,1,19930901,allocated
ripencc,EU,1318,1,19930901,allocated
ripencc,EU,1342,1,19930901,allocated
ripencc,EU,1352,1,19930901,allocated
ripencc,EU,1353,1,19930901,allocated
ripencc,MD,1547,1,20001108,allocated
ripencc,CH,1624,1,20090812,allocated
ripencc,EU,1653,1,19930901,allocated
ripencc,EU,1654,1,19930901,allocated
ripencc,EU,1663,1,19930901,allocated
ripencc,IL,1680,1,19930901,allocated
ripencc,EU,1707,1,19930901,allocated
ripencc,EU,1708,1,19930901,allocated
ripencc,EU,1709,1,19930901,allocated
ripencc,EU,1710,1,19930901,allocated
ripencc,EU,1711,1,19930901,allocated
ripencc,EU,1712,1,19930901,allocated
ripencc,EU,1713,1,19930901,allocated
ripencc,EU,1714,1,19930901,allocated
ripencc,EU,1715,1,19930901,allocated
ripencc,EU,1716,1,19930901,allocated
ripencc,EU,1717,1,19930901,allocated
ripencc,EU,1718,1,19930901,allocated
ripencc,EU,1719,1,19930901,allocated
ripencc,EU,1720,1,19930901,allocated
ripencc,EU,1721,1,19930901,allocated
ripencc,EU,1722,1,19930901,allocated
ripencc,EU,1723,1,19930901,allocated
ripencc,EU,1724,1,19930901,allocated
ripencc,EU,1725,1,19930901,allocated
ripencc,EU,1726,1,19930901,allocated
ripencc,SE,1729,1,19930901,allocated
ripencc,EU,1732,1,19930901,allocated
ripencc,FI,1738,1,19930901,allocated
ripencc,EU,1739,1,19930901,allocated
ripencc,FI,1741,1,19930901,allocated
ripencc,EU,1748,1,19930901,allocated
ripencc,EU,1752,1,19930901,allocated
ripencc,DE,1754,1,19930901,allocated
ripencc,SE,1755,1,19930901,allocated
ripencc,IR,1756,1,20100512,allocated
ripencc,FI,1759,1,19930901,allocated
ripencc,AT,1764,1,19930901,allocated
ripencc,EU,1770,1,19930901,allocated
ripencc,EU,1771,1,19930901,allocated
ripencc,EU,1774,1,19930901,allocated
ripencc,AT,1776,1,19930901,allocated
ripencc,FI,1780,1,19930901,allocated
ripencc,SE,1833,1,19930901,allocated
ripencc,EU,1835,1,19930901,allocated
ripencc,CH,1836,1,19930901,allocated
ripencc,EU,1837,1,19930901,allocated
ripencc,EU,1841,1,19930901,allocated
ripencc,EU,1849,1,19930901,allocated
ripencc,IS,1850,1,19930901,allocated
ripencc,AT,1853,1,19930901,allocated
ripencc,EU,1854,1,19930901,allocated
ripencc,SE,1878,1,19930901,allocated
ripencc,SE,1879,1,19930901,allocated
ripencc,SE,1880,1,19930901,allocated
ripencc,SE,1881,1,19930901,allocated
ripencc,SE,1882,1,19930901,allocated
ripencc,SE,1883,1,19930901,allocated
ripencc,TR,1885,1,20100225,allocated
ripencc,HR,1886,1,20100226,allocated
ripencc,PL,1887,1,19930901,allocated
ripencc,NL,1888,1,19930901,allocated
ripencc,EU,1889,1,19920820,allocated
ripencc,NL,1890,1,19920825,allocated
ripencc,DE,1893,1,19930901,allocated
ripencc,DE,1895,1,19920825,allocated
ripencc,PT,1897,1,19920922,allocated
ripencc,DE,1898,1,19921005,allocated
ripencc,AT,1901,1,19921106,allocated
ripencc,SK,1902,1,19930901,allocated
ripencc,EU,1903,1,19930901,allocated
ripencc,AT,1921,1,19930901,allocated
ripencc,SK,1922,1,19930901,allocated
ripencc,EU,1923,1,19930901,allocated
ripencc,FI,1926,1,19930901,allocated
ripencc,PT,1930,1,19930901,allocated
ripencc,EU,1935,1,19930901,allocated
ripencc,EU,1936,1,19930901,allocated
ripencc,EU,1937,1,19930901,allocated
ripencc,EU,1938,1,19930901,allocated
ripencc,EU,1939,1,19930901,allocated
ripencc,EU,1940,1,19930901,allocated
ripencc,EU,1941,1,19930901,allocated
ripencc,EU,1942,1,19930901,allocated
ripencc,EU,1943,1,19930901,allocated
ripencc,EU,1944,1,19930901,allocated
ripencc,EU,1945,1,19930901,allocated
ripencc,EU,1946,1,19930901,allocated
ripencc,EU,1947,1,19930901,allocated
ripencc,EU,1948,1,19930901,allocated
ripencc,EU,1949,1,19930901,allocated
ripencc,EU,1950,1,19930901,allocated
ripencc,EU,1951,1,19930901,allocated
ripencc,EU,1952,1,19930901,allocated
ripencc,EU,1953,1,19930901,allocated
ripencc,EU,1954,1,19930901,allocated
ripencc,HU,1955,1,19930901,allocated
ripencc,EU,1960,1,19930901,allocated
ripencc,EU,1961,1,19930901,allocated
ripencc,EU,1962,1,19930901,allocated
ripencc,EU,1967,1,19930901,allocated
ripencc,NL,2004,1,19930901,allocated
