Registry,Country,ASN,Value,Date,Status
apnic,AU,1221,1,20000131,allocated
apnic,AU,1851,1,20020801,allocated
apnic,AU,2144,1,20020801,allocated
apnic,AU,2713,1,20020801,allocated
apnic,AU,2764,1,20020801,allocated
apnic,AU,2823,1,20020801,allocated
ripencc,AU,3318,1,20151106,allocated
apnic,AU,3395,1,20020801,allocated
apnic,AU,3558,1,20020801,allocated
apnic,AU,3840,1,20020801,allocated
apnic,AU,4174,2,20020801,allocated
apnic,AU,4197,1,20230713,allocated
apnic,AU,4381,1,20020801,allocated
apnic,AU,4433,1,20020801,allocated
apnic,AU,4608,1,19950530,allocated
apnic,AU,4632,1,19950912,allocated
apnic,AU,4643,1,20031106,allocated
apnic,AU,4647,1,20110701,allocated
apnic,AU,4653,1,20110705,allocated
apnic,AU,4736,1,19951023,allocated
apnic,AU,4737,1,19960202,allocated
apnic,AU,4738,1,19960202,allocated
apnic,AU,4739,1,19960212,allocated
apnic,AU,4740,1,19960222,allocated
apnic,AU,4742,1,19960307,allocated
apnic,AU,4744,1,19960312,allocated
apnic,AU,4749,1,20070809,allocated
apnic,AU,4752,1,19960415,allocated
apnic,AU,4764,1,20040122,allocated
apnic,AU,4778,1,20031008,allocated
apnic,AU,4786,1,20100524,allocated
apnic,AU,4794,1,19961029,allocated
apnic,AU,4801,1,20160708,allocated
apnic,AU,4802,1,19961118,allocated
apnic,AU,4804,1,19961107,allocated
apnic,AU,4805,1,19961106,allocated
apnic,AU,4806,2,19961025,allocated
apnic,AU,4819,1,20100406,allocated
apnic,AU,4820,1,20011211,allocated
apnic,AU,4822,1,20011217,allocated
apnic,AU,4824,1,20011220,allocated
apnic,AU,4825,1,20050614,allocated
apnic,AU,4826,1,20011224,allocated
apnic,AU,4829,1,20050906,allocated
apnic,AU,4838,1,20050727,allocated
apnic,AU,4841,1,20100908,allocated
apnic,AU,4851,1,20050111,allocated
apnic,AU,4852,1,19960731,allocated
apnic,AU,4853,1,20050909,allocated
apnic,AU,4854,1,19960814,allocated
apnic,AU,4857,1,20091110,allocated
apnic,AU,4858,1,20070322,allocated
apnic,AU,4860,1,19961206,allocated
apnic,AU,6262,1,20020801,allocated
apnic,AU,7175,1,20020801,allocated
apnic,AU,7467,1,20020923,allocated
apnic,AU,7471,1,20040123,allocated
apnic,AU,7474,1,19970203,allocated
apnic,AU,7475,2,19970211,allocated
apnic,AU,7477,1,19970211,allocated
apnic,AU,7486,1,19970227,allocated
apnic,AU,7490,1,20160715,allocated
apnic,AU,7492,1,20181224,allocated
apnic,AU,7496,1,19970325,allocated
apnic,AU,7498,1,19970410,allocated
apnic,AU,7542,1,19970422,allocated
apnic,AU,7545,1,19970425,allocated
apnic,AU,7546,1,20070727,allocated
apnic,AU,7550,1,20021004,allocated
apnic,AU,7551,1,20090402,allocated
apnic,AU,7553,1,20021008,allocated
apnic,AU,7554,1,20021009,allocated
apnic,AU,7555,1,19970509,allocated
apnic,AU,7556,1,19970509,allocated
apnic,AU,7566,1,20161018,allocated
apnic,AU,7567,1,19970521,allocated
apnic,AU,7569,7,19970528,allocated
apnic,AU,7578,1,20070810,allocated
apnic,AU,7579,2,19970604,allocated
apnic,AU,7583,1,20070802,allocated
apnic,AU,7585,1,20050616,allocated
apnic,AU,7591,2,19970708,allocated
apnic,AU,7594,1,20061129,allocated
apnic,AU,7598,1,20070315,allocated
apnic,AU,7600,2,19970806,allocated
apnic,AU,7604,1,19970811,allocated
apnic,AU,7606,1,19970819,allocated
apnic,AU,7608,1,19970819,allocated
apnic,AU,7612,1,19970826,allocated
apnic,AU,7628,1,20160418,allocated
apnic,AU,7631,1,20100513,allocated
apnic,AU,7635,1,20160505,allocated
apnic,AU,7637,1,19971002,allocated
apnic,AU,7644,1,19971020,allocated
